date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_name
7/31/2024,Berthoud,Berthoud Park,BE,Culex tarsalis,147,LC-001 
7/31/2024,Berthoud,Berthoud Park,BE,Culex pipiens,8,LC-001 
7/31/2024,Berthoud,Berthoud North,BE,Culex tarsalis,67,LC-049 
7/31/2024,Berthoud,Berthoud West,BE,Culex tarsalis,42,LC-053 
7/31/2024,Berthoud,Berthoud Point,BE,Culex pipiens,3,LC-054 
7/31/2024,Berthoud,Berthoud Point,BE,Culex tarsalis,56,LC-054 
7/31/2024,Berthoud,Berthoud East,BE,Culex tarsalis,11,WC-055
7/29/2024,Fort Collins,N. Linden,NE,Culex tarsalis,1,FC-006
7/29/2024,Fort Collins,FC Visitor Center,NE,Culex pipiens,13,FC-014
7/29/2024,Fort Collins,FC Visitor Center,NE,Culex tarsalis,42,FC-014
7/29/2024,Fort Collins,Edora Park,NE,Culex tarsalis,26,FC-019
7/29/2024,Fort Collins,Edora Park,NE,Culex pipiens,12,FC-019
7/29/2024,Fort Collins,Country Club,NE,Culex tarsalis,30,FC-034
7/29/2024,Fort Collins,Hemlock,NW,Culex tarsalis,43,FC-036 
7/29/2024,Fort Collins,Hemlock,NW,Culex pipiens,29,FC-036 
7/29/2024,Fort Collins,Lochside Lane,NE,Culex tarsalis,22,FC-038
7/29/2024,Fort Collins,Lochside Lane,NE,Culex pipiens,5,FC-038
7/29/2024,Fort Collins,Redwood,NE,Culex pipiens,2,FC-040
7/29/2024,Fort Collins,Redwood,NE,Culex tarsalis,10,FC-040
7/29/2024,Fort Collins,Redwood Gravid,NE,Culex tarsalis,1,FC-040gr
7/29/2024,Fort Collins,Redwood Gravid,NE,Culex pipiens,54,FC-040gr
7/29/2024,Fort Collins,Prospect Ponds,NE,Culex tarsalis,56,FC-066
7/29/2024,Fort Collins,Prospect Ponds,NE,Culex pipiens,16,FC-066
7/29/2024,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,27,FC-066gr
7/29/2024,Fort Collins,Poudre River Trail,NE,Culex pipiens,2,FC-067
7/29/2024,Fort Collins,Poudre River Trail,NE,Culex tarsalis,5,FC-067
7/29/2024,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,3,FC-069
7/29/2024,Fort Collins,Linden Lake Rd,NE,Culex pipiens,1,FC-069
7/29/2024,Fort Collins,422 Lake Dr,NE,Culex pipiens,10,FC-072
7/29/2024,Fort Collins,422 Lake Dr,NE,Culex tarsalis,38,FC-072
7/29/2024,Fort Collins,PVH Gravid,NE,Culex pipiens,10,FC-091gr
7/29/2024,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,21,FC-092gr
7/30/2024,Fort Collins,Big Horn,SE,Culex tarsalis,43,FC-004
7/30/2024,Fort Collins,Big Horn,SE,Culex pipiens,13,FC-004
7/30/2024,Fort Collins,Boltz,SE,Culex tarsalis,16,FC-023
7/30/2024,Fort Collins,Boltz,SE,Culex pipiens,5,FC-023
7/30/2024,Fort Collins,3001 San Luis,SE,Culex tarsalis,3,FC-027
7/30/2024,Fort Collins,3001 San Luis,SE,Culex pipiens,6,FC-027
7/30/2024,Fort Collins,Willow Springs,SE,Culex tarsalis,190,FC-031
7/30/2024,Fort Collins,Willow Springs,SE,Culex pipiens,7,FC-031
7/30/2024,Fort Collins,Fossil Creek South,SE,Culex tarsalis,21,FC-039
7/30/2024,Fort Collins,Westshore Ct,SE,Culex pipiens,6,FC-046
7/30/2024,Fort Collins,Westshore Ct,SE,Culex tarsalis,20,FC-046
7/30/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,52,FC-047
7/30/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,4,FC-047
7/30/2024,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,19,FC-050
7/30/2024,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,10,FC-050
7/30/2024,Fort Collins,Egret and Rookery,SE,Culex pipiens,1,FC-053
7/30/2024,Fort Collins,Egret and Rookery,SE,Culex tarsalis,37,FC-053
7/30/2024,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,1,FC-059
7/30/2024,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,9,FC-059
7/30/2024,Fort Collins,West Chase,SE,Culex pipiens,5,FC-064
7/30/2024,Fort Collins,West Chase,SE,Culex tarsalis,34,FC-064
7/30/2024,Fort Collins,Rock Creek,SE,Culex tarsalis,91,FC-074
7/30/2024,Fort Collins,Rock Creek,SE,Culex pipiens,6,FC-074
7/30/2024,Fort Collins,Sage Creek North,SE,Culex pipiens,12,FC-075
7/30/2024,Fort Collins,Sage Creek North,SE,Culex tarsalis,15,FC-075
7/30/2024,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,6,FC-075gr
7/30/2024,Fort Collins,Sage Creek North Gravid,SE,Culex tarsalis,1,FC-075gr
7/30/2024,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,47,FC-088gr
7/31/2024,Fort Collins,Golden Current,NW,Culex tarsalis,10,FC-011
7/31/2024,Fort Collins,Golden Current,NW,Culex pipiens,3,FC-011
7/31/2024,Fort Collins,Stuart and Dorset,NW,Culex pipiens,2,FC-015
7/31/2024,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,8,FC-015
7/31/2024,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,7,FC-049
7/31/2024,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,11,FC-049
7/31/2024,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,5,FC-052
7/31/2024,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,1,FC-052
7/31/2024,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,6,FC-058
7/31/2024,Fort Collins,808 Ponderosa,NW,Culex tarsalis,5,FC-060
7/31/2024,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,37,FC-061
7/31/2024,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,6,FC-061
7/31/2024,Fort Collins,Red Fox Meadows,NW,Culex tarsalis,1,FC-063
7/31/2024,Fort Collins,Red Fox Meadows,NW,Culex pipiens,1,FC-063
7/31/2024,Fort Collins,Red Fox Meadows Gravid,NW,Culex tarsalis,1,FC-063gr
7/31/2024,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,42,FC-063gr
7/31/2024,Fort Collins,118 S Grant ,NW,Culex pipiens,6,FC-073
7/31/2024,Fort Collins,118 S Grant ,NW,Culex tarsalis,8,FC-073
7/31/2024,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,148,FC-090gr
8/1/2024,Fort Collins,Magic Carpet,SW,Culex pipiens,2,FC-001
8/1/2024,Fort Collins,Magic Carpet,SW,Culex tarsalis,9,FC-001
8/1/2024,Fort Collins,Ben's Park,SE,Culex tarsalis,10,FC-029
8/1/2024,Fort Collins,Ben's Park,SE,Culex pipiens,2,FC-029
8/1/2024,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,50,FC-029gr
8/1/2024,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,32,FC-037
8/1/2024,Fort Collins,Chelsea Ridge,SW,Culex pipiens,3,FC-037
8/1/2024,Fort Collins,737 Parliament,SE,Culex pipiens,1,FC-054
8/1/2024,Fort Collins,737 Parliament,SE,Culex tarsalis,9,FC-054
8/1/2024,Fort Collins,Registry Ridge,SW,Culex tarsalis,1,FC-057
8/1/2024,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,3,FC-062
8/1/2024,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,10,FC-062
8/1/2024,Fort Collins,5029 Crest Dr,SW,Culex pipiens,1,FC-068
8/1/2024,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,5,FC-068
8/1/2024,Fort Collins,Silvergate Rd,SW,Culex tarsalis,2,FC-071
8/1/2024,Fort Collins,Silvergate Rd,SW,Culex pipiens,3,FC-071
8/1/2024,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,44,FC-089gr
8/1/2024,Fort Collins,Lopez Elementary,SW,Culex tarsalis,10,FC-093
8/1/2024,Fort Collins,Lopez Elementary,SW,Culex pipiens,5,FC-093
7/29/2024,Loveland,29th and Madison,LV,Culex tarsalis,85,LV-004
7/29/2024,Loveland,29th and Madison,LV,Culex pipiens,4,LV-004
7/29/2024,Loveland,Outlet Mall Apartments,LV,Culex tarsalis,11,LV-066
7/29/2024,Loveland,Outlet Mall Apartments,LV,Culex pipiens,4,LV-066
7/29/2024,Loveland,Horseshoe Peninsula,LV,Culex tarsalis,5,LV-069
7/29/2024,Loveland,7 Lakes Park,LV,Culex pipiens,2,LV-078
7/29/2024,Loveland,7 Lakes Park,LV,Culex tarsalis,35,LV-078
7/29/2024,Loveland,7 Lakes Gravid,LV,Culex pipiens,54,LV-079gr
7/29/2024,Loveland,Harding and Reagan,LV,Culex tarsalis,10,LV-080
7/29/2024,Loveland,Harding and Reagan,LV,Culex pipiens,2,LV-080
7/29/2024,Loveland,2229 Arikaree,LV,Culex tarsalis,79,LV-088
7/29/2024,Loveland,2229 Arikaree,LV,Culex pipiens,24,LV-088
7/29/2024,Loveland,Pond at Silver Lake,LV,No Mosquitoes,0,LV-093
7/29/2024,Loveland,Boyd Lake,LV,Culex tarsalis,54,LV-095
7/29/2024,Loveland,Boyd Lake,LV,Culex pipiens,2,LV-095
7/29/2024,Loveland,Sundisk and 13E,LV,Culex pipiens,8,LV-116
7/29/2024,Loveland,Sundisk and 13E,LV,Culex tarsalis,1,LV-116
7/29/2024,Loveland,Centerra,LV,Culex pipiens,10,LV-117
7/29/2024,Loveland,Centerra,LV,Culex tarsalis,56,LV-117
7/30/2024,Loveland,Jefferson and 11th,LV,No Mosquitoes,0,LV-074
7/30/2024,Loveland,Jefferson And 11th Gravid,LV,Culex pipiens,57,LV-074gr
7/30/2024,Loveland,1105 East 1st Street,LV,Culex pipiens,1,LV-077
7/30/2024,Loveland,1105 East 1st Street,LV,Culex tarsalis,34,LV-077
7/30/2024,Loveland,9th and DesMoines,LV,Culex tarsalis,6,LV-089
7/30/2024,Loveland,Downtown Loveland ,LV,Culex tarsalis,3,LV-100
7/30/2024,Loveland,Downtown Loveland ,LV,Culex pipiens,2,LV-100
7/30/2024,Loveland,Cr 20 and 9,LV,Culex tarsalis,45,LV-104
7/30/2024,Loveland,Cr 20 and 9,LV,Culex pipiens,7,LV-104
7/30/2024,Loveland,Big Thompson ,LV,Culex pipiens,4,LV-110
7/30/2024,Loveland,Big Thompson ,LV,Culex tarsalis,44,LV-110
7/30/2024,Loveland,915 S Boise,LV,Culex tarsalis,81,LV-112
7/30/2024,Loveland,915 S Boise,LV,Culex pipiens,41,LV-112
7/30/2024,Loveland,Springs at Marianna,LV,Culex tarsalis,19,LV-113
7/30/2024,Loveland,Golf Vista,LV,Culex pipiens,5,LV-118
7/30/2024,Loveland,Golf Vista,LV,Culex tarsalis,29,LV-118
7/30/2024,Loveland,Keysight Technologies,LV,Culex tarsalis,20,LV-124
7/30/2024,Loveland,Keysight Technologies,LV,Culex pipiens,2,LV-124
7/30/2024,Loveland,8th And No Name,LV,Culex pipiens,7,LV-125
7/30/2024,Loveland,8th And No Name,LV,Culex tarsalis,50,LV-125
7/31/2024,Loveland,Jocelyn and Eagle,LV,Culex tarsalis,11,LV-019
7/31/2024,Loveland,Cattail Pond,LV,Culex pipiens,1,LV-020
7/31/2024,Loveland,Cattail Pond,LV,Culex tarsalis,109,LV-020
7/31/2024,Loveland,Linda and 26th ,LV,No Mosquitoes,0,LV-021
7/31/2024,Loveland,2001 S Douglas,LV,Culex pipiens,5,LV-042
7/31/2024,Loveland,2001 S Douglas,LV,Culex tarsalis,23,LV-042
7/31/2024,Loveland,Del Norte Private Park,LV,Culex tarsalis,4,LV-067
7/31/2024,Loveland,Derby Hill,LV,Culex pipiens,1,LV-087
7/31/2024,Loveland,Derby Hill,LV,Culex tarsalis,31,LV-087
7/31/2024,Loveland,Jill Drive Pond,LV,Culex pipiens,1,LV-114
7/31/2024,Loveland,Jill Drive Pond,LV,Culex tarsalis,37,LV-114
7/31/2024,Loveland,End of City Limits North,LV,Culex pipiens,1,LV-120
7/31/2024,Loveland,End of City Limits North,LV,Culex tarsalis,33,LV-120
8/1/2024,Loveland,Hendler Gravid,LV,Culex pipiens,20,LV-010gr
8/1/2024,Loveland,Estrella Park,LV,Culex pipiens,4,LV-014
8/1/2024,Loveland,Estrella Park,LV,Culex tarsalis,5,LV-014
8/1/2024,Loveland,Farasita at Rist Benson,LV,Culex tarsalis,15,LV-097
8/1/2024,Loveland,Benson Sculpture Park,LV,Culex pipiens,9,LV-098
8/1/2024,Loveland,Benson Sculpture Park,LV,Culex tarsalis,13,LV-098
8/1/2024,Loveland,Glen Isle Ditch,LV,Culex tarsalis,28,LV-102
8/1/2024,Loveland,Glen Isle Ditch,LV,Culex pipiens,39,LV-102
8/1/2024,Loveland,West 43rd Railroad,LV,Culex tarsalis,1,LV-105
8/1/2024,Loveland,Bayfield and Windsor,LV,Culex tarsalis,18,LV-121
8/1/2024,Loveland,Bayfield and Windsor,LV,Culex pipiens,1,LV-121
8/1/2024,Loveland,Fallgold,LV,Culex tarsalis,4,LV-122
8/1/2024,Loveland,Fallgold,LV,Culex pipiens,6,LV-122
7/29/2024,Timnath,Timnath - 5th and Kern,TT,Culex tarsalis,8,LC-010 
7/29/2024,Timnath,Timnath - Golf Course,TT,Culex pipiens,1,LC-022 
7/29/2024,Timnath,Timnath - Golf Course,TT,Culex tarsalis,5,LC-022 
7/29/2024,Timnath,Timnath - Summerfields,TT,Culex tarsalis,17,LC-048 
7/29/2024,Timnath,Timnath - Wildwing,TT,Culex tarsalis,12,LC-050 
7/29/2024,Timnath,Timnath - Wildwing,TT,Culex pipiens,4,LC-050 
7/29/2024,Timnath,Timnath - Serratoga Falls,TT,Culex tarsalis,5,LC-051 
7/29/2024,Timnath,Timnath - Walmart,TT,Culex tarsalis,8,LC-052 
7/29/2024,Timnath,Timnath - Trailside,TT,Culex tarsalis,36,LC-057
